,Car_Name,car_age,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,ritz,9,335000,559000,27000,Petrol,Dealer,Manual,0
1,sx4,10,475000,953999,43000,Diesel,Dealer,Manual,0
2,ciaz,6,725000,985000,6900,Petrol,Dealer,Manual,0
3,wagon r,12,285000,415000,5200,Petrol,Dealer,Manual,0
4,swift,9,459999,687000,42450,Diesel,Dealer,Manual,0
5,vitara brezza,5,925000,983000,2071,Diesel,Dealer,Manual,0
6,ciaz,8,675000,811999,18796,Petrol,Dealer,Manual,0
7,s cross,8,650000,861000,33429,Diesel,Dealer,Manual,0
8,ciaz,7,875000,889000,20273,Diesel,Dealer,Manual,0
9,ciaz,8,745000,892000,42367,Diesel,Dealer,Manual,0
10,alto 800,6,285000,360000,2135,Petrol,Dealer,Manual,0
11,ciaz,8,685000,1038000,51000,Diesel,Dealer,Manual,0
12,ciaz,8,750000,994000,15000,Petrol,Dealer,Automatic,0
13,ertiga,8,610000,771000,26000,Petrol,Dealer,Manual,0
14,dzire,14,225000,721000,77427,Petrol,Dealer,Manual,0
15,ertiga,7,775000,1079000,43000,Diesel,Dealer,Manual,0
16,ertiga,8,725000,1079000,41678,Diesel,Dealer,Manual,0
17,ertiga,7,775000,1079000,43000,Diesel,Dealer,Manual,0
18,wagon r,8,325000,509000,35500,CNG,Dealer,Manual,0
19,sx4,13,265000,798000,41442,Petrol,Dealer,Manual,0
20,alto k10,7,285000,395000,25000,Petrol,Dealer,Manual,0
21,ignis,6,490000,571000,2400,Petrol,Dealer,Manual,0
22,sx4,12,440000,801000,50000,Petrol,Dealer,Automatic,0
23,alto k10,9,250000,346000,45280,Petrol,Dealer,Manual,0
24,wagon r,10,290000,441000,56879,Petrol,Dealer,Manual,0
25,swift,12,300000,499000,20000,Petrol,Dealer,Manual,0
26,swift,10,415000,587000,55138,Petrol,Dealer,Manual,0
27,swift,6,600000,649000,16200,Petrol,Individual,Manual,0
28,alto k10,13,195000,395000,44542,Petrol,Dealer,Manual,0
29,ciaz,8,745000,1038000,45000,Diesel,Dealer,Manual,0
30,ritz,11,310000,598000,51439,Diesel,Dealer,Manual,0
31,ritz,12,235000,488999,54200,Petrol,Dealer,Manual,0
32,swift,9,495000,749000,39000,Diesel,Dealer,Manual,0
33,ertiga,9,600000,994999,45000,Diesel,Dealer,Manual,0
34,dzire,9,550000,806000,45000,Diesel,Dealer,Manual,0
35,sx4,12,295000,774000,49998,CNG,Dealer,Manual,0
36,dzire,8,465000,720000,48767,Petrol,Dealer,Manual,0
37,800,20,35000,227999,127000,Petrol,Individual,Manual,0
38,alto k10,7,300000,376000,10079,Petrol,Dealer,Manual,0
39,sx4,20,225000,798000,62000,Petrol,Dealer,Manual,0
40,baleno,7,585000,787000,24524,Petrol,Dealer,Automatic,0
41,alto k10,9,254999,398000,46706,Petrol,Dealer,Manual,0
42,sx4,15,195000,715000,58000,Petrol,Dealer,Manual,0
43,dzire,9,550000,806000,45780,Diesel,Dealer,Manual,0
44,omni,11,125000,269000,50000,Petrol,Dealer,Manual,0
45,ciaz,9,750000,1204000,15000,Petrol,Dealer,Automatic,0
46,ritz,10,265000,488999,64532,Petrol,Dealer,Manual,0
47,wagon r,17,105000,415000,65000,Petrol,Dealer,Manual,0
48,ertiga,8,580000,771000,25870,Petrol,Dealer,Manual,0
49,ciaz,6,775000,928999,37000,Petrol,Dealer,Automatic,0
50,fortuner,11,1490000,3061000,104707,Diesel,Dealer,Automatic,0
51,fortuner,8,2300000,3061000,40000,Diesel,Dealer,Automatic,0
52,innova,6,1800000,1977000,15000,Diesel,Dealer,Automatic,0
53,fortuner,10,1600000,3061000,135000,Diesel,Individual,Automatic,0
54,innova,18,275000,1021000,90000,Petrol,Individual,Manual,0
55,corolla altis,14,360000,1504000,70000,Petrol,Dealer,Automatic,0
56,etios cross,8,450000,727000,40534,Petrol,Dealer,Manual,0
57,corolla altis,13,475000,1854000,50000,Petrol,Dealer,Manual,0
58,etios g,9,409999,680000,39485,Petrol,Dealer,Manual,1
59,fortuner,9,1998999,3596000,41000,Diesel,Dealer,Automatic,0
